IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
203.9.150.104,443,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,45,27.40
103.148.72.147,1443,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,69,19.78
38.207.132.219,27050,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,100,16.93
103.44.255.81,443,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,41,14.64
38.207.132.219,27043,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,105,13.36
38.207.132.219,27033,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,101,11.03
83.229.125.27,51292,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,46,10.16
38.207.132.219,30387,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,104,9.99
38.207.132.219,27013,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,106,8.83
141.11.175.174,20368,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,210,7.99
38.207.132.219,40722,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,100,7.51
45.87.103.154,52001,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,223,3.59
154.201.93.212,19443,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,133,1.95
46.3.104.240,4445,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,46,1.36
172.93.165.228,443,443,true,SIN,Asia Pacific,SG☯为您千千万万遍☯优选,Singapore,61,1.30
23.26.217.101,10001,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,276,0.83
219.76.13.164,443,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,50,0.82
47.76.218.163,443,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,45,0.63
119.13.88.67,26541,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,52,0.60
154.21.202.107,4433,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,48,0.53
152.32.252.175,8969,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,95,0.47
43.128.37.98,443,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,51,0.35
20.6.159.95,443,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,127,0.35
150.109.110.74,443,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,46,0.26
47.83.234.54,443,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,50,0.14
165.154.43.92,35184,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,100,0.12
154.21.203.95,49736,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,45,0.10
38.6.167.31,12666,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,52,0.10
118.193.33.119,27942,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,102,0.09
45.153.130.97,25909,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,51,0.08
141.11.149.48,35333,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,51,0.07
43.128.26.74,443,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,58,0.04
47.243.236.86,443,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,44,0.04
8.218.148.106,443,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,49,0.03
47.76.136.17,443,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,43,0.03
202.81.237.150,9999,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,115,0.02
8.218.120.79,443,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,50,0.01
43.129.97.210,8443,443,true,HKG,Asia Pacific,HK☯为您千千万万遍☯优选,Hong Kong,43,0.00
