IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
204.110.223.78,80,443,true,🇺🇸美国布法罗_1-☯为您千千万万遍☯优选,North America,US,Buffalo,2,6.72
67.226.222.157,80,443,true,🇺🇸美国洛杉矶_2-☯为您千千万万遍☯优选,North America,US,Los Angeles,0,5.89
204.110.223.17,80,443,true,🇺🇸美国布法罗_3-☯为您千千万万遍☯优选,North America,US,Buffalo,2,5.80
204.110.223.76,80,443,true,DFW_4-☯为您千千万万遍☯优选,North America,US,Dallas,3,5.37
3.140.252.137,443,443,true,🇨🇦加拿大多伦多_5-☯为您千千万万遍☯优选,North America,CA,Toronto,1,5.04
67.226.222.37,80,443,true,🇺🇸美国布法罗_6-☯为您千千万万遍☯优选,North America,US,Buffalo,2,4.74
204.110.223.128,80,443,true,🇨🇦加拿大多伦多_7-☯为您千千万万遍☯优选,North America,CA,Toronto,2,4.59
3.15.147.151,2083,443,true,🇺🇸美国哥伦布_8-☯为您千千万万遍☯优选,North America,US,Columbus,266,3.78
3.138.59.154,443,443,true,🇺🇸美国洛杉矶_9-☯为您千千万万遍☯优选,North America,US,Los Angeles,3,3.48
204.110.223.168,80,443,true,🇺🇸美国洛杉矶_10-☯为您千千万万遍☯优选,North America,US,Los Angeles,1,3.47
