IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,46,27.32
141.11.79.224,65250,443,true,HKG,Asia Pacific,HK,Hong Kong,227,19.11
47.76.71.54,443,443,true,LAX,North America,US,Los Angeles,0,9.93
8.210.100.95,443,443,true,LAX,North America,US,Los Angeles,1,8.75
38.207.129.34,35333,443,true,HKG,Asia Pacific,HK,Hong Kong,142,7.77
147.78.0.247,443,443,true,LAX,North America,US,Los Angeles,1,7.61
47.83.18.47,443,443,true,LAX,North America,US,Los Angeles,3,7.47
219.76.13.180,443,443,true,LAX,North America,US,Los Angeles,0,4.47
141.11.77.158,27312,443,true,HKG,Asia Pacific,HK,Hong Kong,228,3.77
154.201.93.212,19443,443,true,HKG,Asia Pacific,HK,Hong Kong,104,3.45
43.128.26.74,443,443,true,LAX,North America,US,Los Angeles,0,3.37
103.44.255.81,443,443,true,HKG,Asia Pacific,HK,Hong Kong,46,1.98
43.129.97.210,8443,443,true,HKG,Asia Pacific,HK,Hong Kong,42,1.79
154.12.60.53,4445,443,true,HKG,Asia Pacific,HK,Hong Kong,47,1.48
154.21.202.107,4433,443,true,HKG,Asia Pacific,HK,Hong Kong,46,1.07
45.149.186.112,8080,443,true,HKG,Asia Pacific,HK,Hong Kong,243,0.90
154.197.27.44,18488,443,true,HKG,Asia Pacific,HK,Hong Kong,230,0.83
202.181.27.218,14526,443,true,HKG,Asia Pacific,HK,Hong Kong,48,0.28
118.193.33.119,27942,443,true,HKG,Asia Pacific,HK,Hong Kong,43,0.09
45.153.130.97,25909,443,true,HKG,Asia Pacific,HK,Hong Kong,52,0.02
38.6.167.31,12666,443,true,HKG,Asia Pacific,HK,Hong Kong,228,0.00
