IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
141.144.205.218,443,443,true,FRA,Europe,DE,Frankfurt,214,4.97
129.158.207.65,443,443,true,IAD,North America,US,Ashburn,258,2.93
82.148.30.224,443,443,true,YYZ,North America,CA,Toronto,281,1.65
129.158.198.241,2053,443,true,IAD,North America,US,Ashburn,266,1.59
52.14.225.79,443,443,true,IAD,North America,US,Ashburn,275,0.64
3.13.196.41,443,443,true,ORD,North America,US,Chicago,278,0.37
34.194.76.43,443,443,true,IAD,North America,US,Ashburn,264,0.15
18.116.10.123,443,443,true,IAD,North America,US,Ashburn,285,0.08
129.159.84.71,443,443,true,IAD,North America,US,Ashburn,324,0.07
18.235.208.126,443,443,true,IAD,North America,US,Ashburn,266,0.06
4.152.146.92,443,0,true,IAD,North America,US,Ashburn,292,0.02
20.185.45.204,443,443,true,IAD,North America,US,Ashburn,273,0.02
52.149.136.203,443,443,true,IAD,North America,US,Ashburn,265,0.01
20.246.127.166,443,443,true,IAD,North America,US,Ashburn,298,0.01
35.71.133.137,443,443,true,IAD,North America,US,Ashburn,113,0.00
172.212.108.47,443,443,true,IAD,North America,US,Ashburn,266,0.00
40.79.73.114,8443,443,true,IAD,North America,US,Ashburn,284,0.00
4.152.146.110,443,443,true,IAD,North America,US,Ashburn,278,0.00
4.255.56.137,443,443,true,IAD,North America,US,Ashburn,300,0.00
