IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
38.59.225.189,80,80,false,LHR,Europe,GB,London,172,13.24
38.59.224.55,31056,443,true,LHR,Europe,GB,London,164,12.07
38.59.224.55,50406,443,true,LHR,Europe,GB,London,164,9.18
18.134.226.184,8080,443,true,LHR,Europe,GB,London,205,7.66
67.226.223.120,80,443,true,LHR,Europe,GB,London,155,7.17
52.56.69.52,8443,443,true,LHR,Europe,GB,London,198,7.03
18.133.240.96,2096,443,true,CDG,Europe,FR,Paris,205,6.90
67.226.223.206,80,443,true,LHR,Europe,GB,London,199,6.55
67.226.223.201,80,443,true,LHR,Europe,GB,London,156,5.59
67.226.223.156,80,443,true,LHR,Europe,GB,London,198,5.52
18.134.226.184,443,443,true,LHR,Europe,GB,London,163,5.51
67.226.223.204,80,443,true,LHR,Europe,GB,London,197,5.32
67.226.223.208,80,443,true,LHR,Europe,GB,London,205,5.20
3.8.4.143,2096,443,true,LHR,Europe,GB,London,200,5.08
67.226.223.24,80,443,true,LHR,Europe,GB,London,200,5.06
18.171.151.214,443,443,true,LHR,Europe,GB,London,205,5.06
67.226.223.154,80,443,true,LHR,Europe,GB,London,200,5.05
67.226.223.158,80,443,true,LHR,Europe,GB,London,198,4.95
67.226.223.199,80,443,true,LHR,Europe,GB,London,206,4.83
67.226.223.182,80,443,true,LHR,Europe,GB,London,156,4.81
67.226.223.191,80,443,true,LHR,Europe,GB,London,155,4.78
67.226.223.56,80,443,true,LHR,Europe,GB,London,155,4.60
67.226.223.133,80,443,true,LHR,Europe,GB,London,203,4.59
67.226.223.253,80,443,true,LHR,Europe,GB,London,206,4.56
67.226.223.183,80,443,true,LHR,Europe,GB,London,204,4.43
18.134.92.238,8443,443,true,LHR,Europe,GB,London,206,3.86
67.226.223.252,80,443,true,LHR,Europe,GB,London,200,3.62
67.226.223.174,80,443,true,LHR,Europe,GB,London,156,2.41
67.226.223.48,80,443,true,LHR,Europe,GB,London,155,2.35
67.226.223.123,80,443,true,LHR,Europe,GB,London,198,2.09
34.89.30.78,443,443,true,LHR,Europe,GB,London,203,2.01
45.89.63.111,443,443,true,CDG,Europe,FR,Paris,203,1.77
67.226.223.132,80,443,true,LHR,Europe,GB,London,206,1.66
67.226.223.242,80,443,true,LHR,Europe,GB,London,198,1.57
67.226.223.2,80,443,true,LHR,Europe,GB,London,155,1.56
67.226.223.80,80,443,true,LHR,Europe,GB,London,194,1.38
