IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
18.133.246.14,2096,443,true,LHR,Europe,GB,London,186,3.03
35.177.50.118,443,443,true,LHR,Europe,GB,London,198,2.89
38.59.224.55,31056,443,true,LHR,Europe,GB,London,176,1.99
67.226.223.58,80,443,true,LHR,Europe,GB,London,185,1.70
35.176.229.223,443,443,true,LHR,Europe,GB,London,193,1.60
38.59.225.189,80,80,false,LHR,Europe,GB,London,180,1.38
67.226.223.7,443,443,true,LHR,Europe,GB,London,206,1.25
67.226.223.99,80,443,true,LHR,Europe,GB,London,201,1.23
67.226.223.188,80,443,true,LHR,Europe,GB,London,186,1.22
67.226.223.244,80,443,true,LHR,Europe,GB,London,210,1.21
67.226.223.128,80,443,true,LHR,Europe,GB,London,196,1.19
3.9.9.137,2053,443,true,LHR,Europe,GB,London,184,1.16
67.226.223.9,80,443,true,LHR,Europe,GB,London,194,1.13
35.189.113.240,443,443,true,LHR,Europe,GB,London,268,1.13
67.226.223.99,443,443,true,LHR,Europe,GB,London,182,1.12
67.226.223.219,80,443,true,LHR,Europe,GB,London,217,1.08
67.226.223.89,80,443,true,LHR,Europe,GB,London,213,1.02
213.1.145.50,443,443,true,LHR,Europe,GB,London,225,0.92
18.132.176.212,2096,443,true,LHR,Europe,GB,London,213,0.91
67.226.223.54,80,443,true,LHR,Europe,GB,London,214,0.89
67.226.223.233,80,443,true,LHR,Europe,GB,London,187,0.89
67.226.223.190,443,443,true,LHR,Europe,GB,London,194,0.87
67.226.223.55,80,443,true,LHR,Europe,GB,London,240,0.86
67.226.223.112,80,443,true,LHR,Europe,GB,London,209,0.86
67.226.223.7,80,443,true,LHR,Europe,GB,London,202,0.85
67.226.223.77,80,443,true,LHR,Europe,GB,London,219,0.84
67.226.223.81,80,443,true,LHR,Europe,GB,London,182,0.81
3.9.12.200,443,443,true,LHR,Europe,GB,London,197,0.81
67.226.223.44,80,443,true,LHR,Europe,GB,London,211,0.80
67.226.223.2,80,443,true,LHR,Europe,GB,London,198,0.80
38.59.224.55,17349,443,true,LHR,Europe,GB,London,178,0.77
67.226.223.218,80,443,true,LHR,Europe,GB,London,199,0.75
67.226.223.112,443,443,true,LHR,Europe,GB,London,187,0.71
51.140.229.7,80,443,true,LHR,Europe,GB,London,227,0.71
34.105.130.188,443,443,true,LHR,Europe,GB,London,290,0.69
38.59.224.55,50406,443,true,LHR,Europe,GB,London,177,0.66
67.226.223.156,80,443,true,LHR,Europe,GB,London,213,0.63
67.226.223.47,80,443,true,LHR,Europe,GB,London,209,0.59
67.226.223.32,80,443,true,LHR,Europe,GB,London,197,0.59
67.226.223.207,80,443,true,LHR,Europe,GB,London,217,0.51
172.166.227.23,2053,443,true,LHR,Europe,GB,London,223,0.47
34.147.231.33,443,443,true,LHR,Europe,GB,London,268,0.44
67.226.223.32,443,443,true,LHR,Europe,GB,London,219,0.43
13.40.125.130,443,443,true,LHR,Europe,GB,London,191,0.43
67.226.223.47,443,443,true,LHR,Europe,GB,London,218,0.41
67.226.223.129,80,443,true,LHR,Europe,GB,London,187,0.38
34.105.140.105,443,443,true,LHR,Europe,GB,London,276,0.36
67.226.223.87,80,443,true,LHR,Europe,GB,London,221,0.36
67.226.223.117,80,443,true,LHR,Europe,GB,London,216,0.29
20.0.112.34,443,443,true,LHR,Europe,GB,London,222,0.25
67.226.223.143,80,443,true,LHR,Europe,GB,London,184,0.19
18.134.37.97,443,443,true,LHR,Europe,GB,London,203,0.18
67.226.223.94,80,443,true,LHR,Europe,GB,London,201,0.15
20.90.163.76,8443,443,true,LHR,Europe,GB,London,227,0.08
67.226.223.211,80,443,true,LHR,Europe,GB,London,198,0.00
