IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
64.110.73.178,443,443,true,DFW_1-☯为您千千万万遍☯优选,North America,US,Dallas,1,9.62
47.91.18.127,443,443,true,DFW_2-☯为您千千万万遍☯优选,North America,US,Dallas,0,7.60
47.245.119.164,443,443,true,🇺🇸美国洛杉矶_3-☯为您千千万万遍☯优选,North America,US,Los Angeles,1,7.39
60.205.0.210,80,80,false,🇯🇵日本东京_4-☯为您千千万万遍☯优选,Asia Pacific,JP,Tokyo,40,6.71
8.140.56.136,80,80,false,🇯🇵日本东京_5-☯为您千千万万遍☯优选,Asia Pacific,JP,Tokyo,39,6.63
54.249.135.43,443,443,true,🇺🇸美国洛杉矶_6-☯为您千千万万遍☯优选,North America,US,Los Angeles,1,5.47
155.248.187.211,443,443,true,🇺🇸美国洛杉矶_7-☯为您千千万万遍☯优选,North America,US,Los Angeles,0,5.08
54.199.222.232,443,443,true,🇨🇦加拿大多伦多_8-☯为您千千万万遍☯优选,North America,CA,Toronto,0,1.47
158.101.141.78,443,443,true,🇺🇸美国洛杉矶_9-☯为您千千万万遍☯优选,North America,US,Los Angeles,1,0.71
103.20.199.88,30002,80,false,🇯🇵日本东京_10-☯为您千千万万遍☯优选,Asia Pacific,JP,Tokyo,53,0.57
