IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
152.70.117.174,443,443,true,SJC,North America,US,San Jose,181,12.54
154.17.2.32,19246,443,true,LAX,North America,US,Los Angeles,146,12.07
37.123.192.202,35909,443,true,SJC,North America,US,San Jose,175,11.51
38.59.244.4,12111,443,true,SJC,North America,US,San Jose,185,10.87
38.59.241.39,10000,443,true,SJC,North America,US,San Jose,146,10.34
67.226.221.207,80,443,true,SJC,North America,US,San Jose,196,10.33
67.226.221.102,443,443,true,SJC,North America,US,San Jose,202,10.25
174.136.205.115,29018,443,true,SJC,North America,US,San Jose,179,9.65
67.226.221.170,80,443,true,SJC,North America,US,San Jose,166,9.62
174.136.207.24,47025,443,true,SJC,North America,US,San Jose,179,9.07
67.226.221.147,80,443,true,SJC,North America,US,San Jose,184,9.06
38.148.254.137,15532,443,true,SJC,North America,US,San Jose,148,9.06
204.110.220.250,80,443,true,SJC,North America,US,San Jose,185,9.05
204.110.220.27,80,443,true,SJC,North America,US,San Jose,173,8.99
154.26.182.49,9443,443,true,SJC,North America,US,San Jose,147,8.96
67.226.221.250,80,443,true,SJC,North America,US,San Jose,173,8.86
67.226.221.4,80,443,true,SJC,North America,US,San Jose,198,8.75
67.226.221.126,80,443,true,SJC,North America,US,San Jose,174,8.46
67.226.221.117,80,443,true,SJC,North America,US,San Jose,196,8.44
37.123.193.178,52050,443,true,SJC,North America,US,San Jose,175,8.37
154.26.183.30,6667,443,true,LAX,North America,US,Los Angeles,145,8.30
204.110.220.80,80,443,true,SJC,North America,US,San Jose,193,7.98
38.60.92.21,8443,443,true,SJC,North America,US,San Jose,173,7.92
154.17.25.25,15248,443,true,LAX,North America,US,Los Angeles,148,7.88
174.136.205.115,24378,443,true,SJC,North America,US,San Jose,200,7.82
54.153.85.10,80,443,true,SJC,North America,US,San Jose,195,7.80
204.110.220.46,80,443,true,SJC,North America,US,San Jose,200,7.75
207.2.120.15,443,443,true,SJC,North America,US,San Jose,283,7.62
204.110.220.65,80,443,true,SJC,North America,US,San Jose,178,7.61
204.110.220.36,80,443,true,SJC,North America,US,San Jose,217,7.31
185.218.7.217,1443,443,true,SJC,North America,US,San Jose,204,7.17
67.226.221.27,80,443,true,SJC,North America,US,San Jose,210,7.03
13.56.58.118,2053,443,true,SJC,North America,US,San Jose,167,6.91
204.110.220.60,80,443,true,SJC,North America,US,San Jose,202,6.88
204.110.220.179,80,443,true,SJC,North America,US,San Jose,207,6.86
67.226.221.164,443,443,true,SJC,North America,US,San Jose,205,6.74
184.169.181.217,443,443,true,SJC,North America,US,San Jose,167,6.52
64.181.240.173,443,443,true,SJC,North America,US,San Jose,206,6.48
67.226.221.118,443,443,true,SJC,North America,US,San Jose,191,6.36
206.119.79.247,443,443,true,SJC,North America,US,San Jose,173,6.33
67.226.221.255,80,443,true,SJC,North America,US,San Jose,197,6.27
67.226.221.164,80,443,true,SJC,North America,US,San Jose,176,6.18
54.193.104.34,80,443,true,SJC,North America,US,San Jose,144,5.77
167.234.222.144,443,443,true,SJC,North America,US,San Jose,207,5.68
3.101.110.90,80,443,true,SJC,North America,US,San Jose,212,5.66
67.226.221.218,80,443,true,SJC,North America,US,San Jose,206,5.66
67.226.221.124,80,443,true,SJC,North America,US,San Jose,207,5.60
37.123.193.178,49677,443,true,SJC,North America,US,San Jose,184,5.57
67.226.221.82,80,443,true,SJC,North America,US,San Jose,192,5.45
204.110.220.83,80,443,true,SJC,North America,US,San Jose,206,5.38
67.226.221.160,80,443,true,SJC,North America,US,San Jose,198,5.09
204.110.220.136,80,443,true,SJC,North America,US,San Jose,190,5.01
18.144.44.213,80,443,true,SJC,North America,US,San Jose,207,4.91
54.153.96.188,80,443,true,SJC,North America,US,San Jose,202,4.81
50.18.133.190,80,443,true,SJC,North America,US,San Jose,171,4.79
65.75.192.77,10180,443,true,SJC,North America,US,San Jose,176,4.74
67.226.221.160,443,443,true,SJC,North America,US,San Jose,171,4.56
54.153.59.106,80,443,true,SJC,North America,US,San Jose,138,4.40
103.99.179.8,43327,443,true,SJC,North America,US,San Jose,192,3.67
89.213.182.246,60002,443,true,LAX,North America,US,Los Angeles,227,3.64
43.153.119.207,443,443,true,SJC,North America,US,San Jose,208,3.09
67.226.221.31,443,443,true,SJC,North America,US,San Jose,169,2.94
207.2.120.16,443,443,true,SJC,North America,US,San Jose,290,2.88
43.135.133.139,8080,443,true,SJC,North America,US,San Jose,204,2.55
165.154.43.92,35181,443,true,HKG,Asia Pacific,HK,Hong Kong,98,1.34
204.110.220.235,80,443,true,SJC,North America,US,San Jose,177,0.84
23.94.25.245,10287,443,true,SJC,North America,US,San Jose,256,0.14
107.172.103.195,16095,443,true,SJC,North America,US,San Jose,253,0.02
107.172.103.195,16097,443,true,SJC,North America,US,San Jose,247,0.02
107.172.103.195,16060,443,true,SJC,North America,US,San Jose,249,0.02
107.172.103.195,16053,443,true,SJC,North America,US,San Jose,254,0.02
107.172.103.195,16040,443,true,SJC,North America,US,San Jose,237,0.02
107.172.103.195,16027,443,true,SJC,North America,US,San Jose,222,0.02
107.172.103.195,16030,443,true,SJC,North America,US,San Jose,225,0.02
107.172.103.195,16084,443,true,SJC,North America,US,San Jose,262,0.02
107.172.103.195,16061,443,true,SJC,North America,US,San Jose,250,0.02
107.172.103.195,16025,443,true,SJC,North America,US,San Jose,248,0.02
107.172.103.195,16024,443,true,SJC,North America,US,San Jose,253,0.02
107.172.103.195,16077,443,true,SJC,North America,US,San Jose,252,0.02
107.172.103.195,16049,443,true,SJC,North America,US,San Jose,249,0.01
107.172.103.195,16058,443,true,SJC,North America,US,San Jose,220,0.01
107.172.103.195,16050,443,true,SJC,North America,US,San Jose,224,0.01
107.172.103.195,16094,443,true,SJC,North America,US,San Jose,258,0.01
38.49.39.245,5556,80,false,SJC,North America,US,San Jose,148,0.00
