IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
204.110.221.171,80,443,true,YUL,North America,CA,Montréal,263,5.34
15.157.59.78,2053,443,true,YUL,North America,CA,Montréal,238,4.77
204.110.221.29,80,443,true,YUL,North America,CA,Montréal,249,4.69
204.110.221.90,80,443,true,YUL,North America,CA,Montréal,267,4.39
204.110.221.22,80,443,true,YUL,North America,CA,Montréal,256,3.82
204.110.221.207,80,443,true,YUL,North America,CA,Montréal,250,3.64
204.110.221.114,80,443,true,YUL,North America,CA,Montréal,263,3.45
204.110.221.209,80,443,true,YUL,North America,CA,Montréal,272,3.32
204.110.221.63,80,443,true,YUL,North America,CA,Montréal,241,3.15
99.79.74.49,443,443,true,YUL,North America,CA,Montréal,264,3.02
204.110.221.141,80,443,true,YUL,North America,CA,Montréal,252,2.85
204.110.221.178,80,443,true,YUL,North America,CA,Montréal,245,1.55
3.97.173.206,80,443,true,YUL,North America,CA,Montréal,267,1.39
99.79.192.125,443,443,false,YUL,North America,CA,Montréal,229,1.14
15.222.245.142,2053,443,true,YUL,North America,CA,Montréal,236,1.12
15.223.76.167,443,443,true,YUL,North America,CA,Montréal,226,0.86
204.110.221.138,80,443,true,YUL,North America,CA,Montréal,228,0.83
204.110.221.34,80,443,true,YUL,North America,CA,Montréal,204,0.67
15.157.59.78,8443,443,true,YUL,North America,CA,Montréal,227,0.66
35.182.7.190,443,443,true,YUL,North America,CA,Montréal,269,0.61
15.156.91.217,443,443,true,YUL,North America,CA,Montréal,245,0.36
204.110.221.80,80,443,true,YUL,North America,CA,Montréal,264,0.30
204.110.221.65,80,443,true,YUL,North America,CA,Montréal,253,0.30
35.183.163.195,443,443,true,YUL,North America,CA,Montréal,265,0.29
204.110.221.201,80,443,true,YUL,North America,CA,Montréal,273,0.29
204.110.221.7,80,443,true,YUL,North America,CA,Montréal,279,0.27
204.110.221.185,80,443,true,YUL,North America,CA,Montréal,266,0.26
204.110.221.137,80,443,true,YUL,North America,CA,Montréal,246,0.16
15.157.7.168,443,443,true,YUL,North America,CA,Montréal,243,0.09
3.98.73.243,443,443,true,YUL,North America,CA,Montréal,275,0.08
35.183.163.195,80,443,true,YUL,North America,CA,Montréal,235,0.08
204.110.221.239,80,443,true,YUL,North America,CA,Montréal,204,0.05
