IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
155.138.128.135,443,443,true,YYZ,North America,CA,Toronto,1,2.53
213.255.209.207,443,443,true,YYZ,North America,CA,Toronto,0,2.36
109.234.34.136,443,443,true,AMS,Europe,NL,Amsterdam,0,2.19
107.172.62.49,40722,443,true,BUF,North America,US,Buffalo,0,1.95
140.238.158.238,443,443,true,YYZ,North America,CA,Toronto,0,1.93
107.175.35.20,52290,443,true,YYZ,North America,CA,Toronto,1,1.05
20.151.238.192,8443,443,true,YYZ,North America,CA,Toronto,1,0.83
192.210.170.102,48181,443,true,BUF,North America,US,Buffalo,1,0.73
4.172.225.82,8443,443,true,YYZ,North America,CA,Toronto,0,0.66
107.175.35.20,27661,443,true,BUF,North America,US,Buffalo,0,0.51
69.28.82.253,443,443,true,YYZ,North America,CA,Toronto,1,0.51
23.95.235.137,443,443,true,YYZ,North America,CA,Toronto,1,0.10
140.238.158.238,8080,443,true,YYZ,North America,CA,Toronto,1,0.00
207.61.86.114,443,443,true,YYZ,North America,CA,Toronto,1,0.00
